attachment_kind,id,parent_record_id,record_type,review_state,source_anchor,target_locator,target_record_id
parent_provision,ibc2018:attachment:63a3c2aafa2d6de60d985aee,ibc2018:exception:642f10b466ec83505ae81cb0,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[317.925,96.702,367.28,114.373],""chapter"":""11"",""line_id"":""poppler-line:bb3edfc029ca13cfc915"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":333,""printed_page"":""306""}",1103.2.8,
nested_exception_item,ibc2018:attachment:44a53e9d71eeaa73f9466f4a,ibc2018:exception:bcaf1e52e357654cf3f43f07,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[341.94,308.25,551.809,321.061],""chapter"":""11"",""line_id"":""poppler-line:f4b658cefa6ab89bddfb"",""observed_text_sha256"":""576c5017811fb2bfef288fd121d657bd34e6beb9b9d15d4df4b995799ab6324d"",""pdf_page"":333,""printed_page"":""306""}",,
nested_exception_item,ibc2018:attachment:ae9cd17542efc3f7afcbe624,ibc2018:exception:bcaf1e52e357654cf3f43f07,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[342.003,377.22,551.817,390.031],""chapter"":""11"",""line_id"":""poppler-line:d04aa2ccebfb78dbab64"",""observed_text_sha256"":""d4542b3c84ec5e38ff2f28cb9aacc298d17f88a2564cbcdc85521c009e795e0e"",""pdf_page"":333,""printed_page"":""306""}",,
nested_exception_item,ibc2018:attachment:4353f877709515aa0f2fd6ff,ibc2018:exception:bcaf1e52e357654cf3f43f07,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[342.003,424.254,551.817,437.064],""chapter"":""11"",""line_id"":""poppler-line:c03bac09f74369fcda6b"",""observed_text_sha256"":""d2543591de88c571719989baaf72410338259e11d34f800f1dde301fb3b99ee3"",""pdf_page"":333,""printed_page"":""306""}",,
parent_provision,ibc2018:attachment:b6e7ce3213e49f2118afdb13,ibc2018:exception:bcaf1e52e357654cf3f43f07,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[329.988,290.644,379.177,308.315],""chapter"":""11"",""line_id"":""poppler-line:5c9157a225eed31d4a58"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":333,""printed_page"":""306""}",1104.3.1,
parent_provision,ibc2018:attachment:fa797a9c961e790dba341221,ibc2018:exception:a911b6b8edbfed24d534d2c2,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[52.05,465.663,285.84,483.333],""chapter"":""11"",""line_id"":""poppler-line:478ccff72c1c75551dc4"",""observed_text_sha256"":""b638feae96fdf9ab1bfe057a2b804b5adeb5fa6a29660afb429000b1b3575c2e"",""pdf_page"":333,""printed_page"":""306""}",1104.1,
nested_exception_item,ibc2018:attachment:eb8029231c1e162207f87dcd,ibc2018:exception:aba91a1ab946043935ac3056,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[342.002,521.197,551.651,534.008],""chapter"":""11"",""line_id"":""poppler-line:58e0074c27ff64e0e828"",""observed_text_sha256"":""3ce627fbb9b3ef0c99aaf73eb15e3633b3b378d72bb657460f0fe24e92e71cdb"",""pdf_page"":333,""printed_page"":""306""}",,
nested_exception_item,ibc2018:attachment:92c72f91bc76c7facff25d3d,ibc2018:exception:aba91a1ab946043935ac3056,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[342.025,579.231,551.486,592.042],""chapter"":""11"",""line_id"":""poppler-line:5eda9b350a72fe977eed"",""observed_text_sha256"":""1e1045a0dc537fdd62e043632f834301fbc4195c8f9a7f6bb56258128a97446a"",""pdf_page"":333,""printed_page"":""306""}",,
parent_provision,ibc2018:attachment:a34444d48072ec226446be77,ibc2018:exception:aba91a1ab946043935ac3056,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[329.995,503.646,379.239,521.317],""chapter"":""11"",""line_id"":""poppler-line:4f49ae40ba37c217cd13"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":333,""printed_page"":""306""}",1104.3.2,
nested_exception_item,ibc2018:attachment:575d51fad88e5ece428a1509,ibc2018:exception:d4cb908e856d3fe04ce7adbf,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[63.891,577.224,285.665,590.035],""chapter"":""11"",""line_id"":""poppler-line:3a9b3f72d17bb8df0bda"",""observed_text_sha256"":""be29698ac386e7ef3717ce407748f0f1185113678df91a719e1f4488d33e9cfd"",""pdf_page"":333,""printed_page"":""306""}",,
nested_exception_item,ibc2018:attachment:41d54eda0f945c750afd7703,ibc2018:exception:d4cb908e856d3fe04ce7adbf,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[63.946,635.158,285.797,648.079],""chapter"":""11"",""line_id"":""poppler-line:86ccf8742aad846dc1ef"",""observed_text_sha256"":""b38551c763425949585f659aa531b37dbe38aac027489082205a501b753729b0"",""pdf_page"":333,""printed_page"":""306""}",,
parent_provision,ibc2018:attachment:962418de3e001627c60ad066,ibc2018:exception:d4cb908e856d3fe04ce7adbf,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[52.05,559.618,101.349,577.289],""chapter"":""11"",""line_id"":""poppler-line:559503b603abc33e730b"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":333,""printed_page"":""306""}",1104.2,
nested_exception_item,ibc2018:attachment:477172f47a64d737ff8b69c9,ibc2018:exception:5326eb29c9085dedc828f554,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[330.017,687.202,551.721,700.013],""chapter"":""11"",""line_id"":""poppler-line:5eb64e1103396a355f7f"",""observed_text_sha256"":""ea4106373b675597033ef49b4e8c3bed9810395737e60bfb43da10a8184457cd"",""pdf_page"":333,""printed_page"":""306""}",,
parent_provision,ibc2018:attachment:5957c669423e96edb66693f0,ibc2018:exception:5326eb29c9085dedc828f554,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[318.009,669.762,367.364,687.433],""chapter"":""11"",""line_id"":""poppler-line:209752887d8fb5fa87ed"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":333,""printed_page"":""306""}",1104.4,
nested_exception_item,ibc2018:attachment:27044c050be7fe3b3ec92d26,ibc2018:exception:93bd2f88f90c5f328617930f,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[349.902,150.164,571.897,162.975],""chapter"":""11"",""line_id"":""poppler-line:87ea5141d2685b66b9df"",""observed_text_sha256"":""0df09abb7206f8c4bd86e3d0f4e9795d16e81e932e80d1ac68e056e5a0b0686f"",""pdf_page"":334,""printed_page"":""307""}",,
nested_exception_item,ibc2018:attachment:1750768f9d3313669c46c745,ibc2018:exception:93bd2f88f90c5f328617930f,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[349.902,175.23,571.763,188.041],""chapter"":""11"",""line_id"":""poppler-line:c0c5d50009fd58185bdb"",""observed_text_sha256"":""62b3ae09af62c6de7bd4bb49aed576a36f3ef1c1b1a75bf5ab6727e5de2226bd"",""pdf_page"":334,""printed_page"":""307""}",,
parent_provision,ibc2018:attachment:f13202d751c0f734c00602b8,ibc2018:exception:93bd2f88f90c5f328617930f,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[338.005,134.357,387.36,149.793],""chapter"":""11"",""line_id"":""poppler-line:b827f20c967e6cdd69c9"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":334,""printed_page"":""307""}",1105.1,
parent_provision,ibc2018:attachment:595406afac71dc50bba7dc28,ibc2018:exception:22ba168b5e6a9518fbc0e08d,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[349.901,458.276,571.734,473.712],""chapter"":""11"",""line_id"":""poppler-line:28fe1e17686b5ea3bd1d"",""observed_text_sha256"":""50d2e6cf31ff49bd71c944ee9d142fa11f23079bce78c3d06887f9fd9bd1f574"",""pdf_page"":334,""printed_page"":""307""}",1105.1.6,
nested_exception_item,ibc2018:attachment:af274e880136c15f8900e284,ibc2018:exception:712de4408fb59c286cf3e942,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.86,490.24,306.063,503.051],""chapter"":""11"",""line_id"":""poppler-line:faae00251e19f37c23bf"",""observed_text_sha256"":""9e1fc02583a8a339ea5c1ef5cef1d0243bc23e53618bea66046d968c32b45328"",""pdf_page"":334,""printed_page"":""307""}",,
nested_exception_item,ibc2018:attachment:4dabe8c46e53d2ece825ead4,ibc2018:exception:712de4408fb59c286cf3e942,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.86,526.207,305.449,539.018],""chapter"":""11"",""line_id"":""poppler-line:8a309afbe56783a04322"",""observed_text_sha256"":""647a02ba84313f78408402464d40bbb9a0008ed0b66adf1ea69442e57137d3bf"",""pdf_page"":334,""printed_page"":""307""}",,
parent_provision,ibc2018:attachment:476b5bf525fff0375d80e834,ibc2018:exception:712de4408fb59c286cf3e942,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[71.963,474.267,121.207,489.703],""chapter"":""11"",""line_id"":""poppler-line:d97798b84f7eee38d1da"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":334,""printed_page"":""307""}",1104.5,
parent_provision,ibc2018:attachment:bdf09652e7d0ca07625f0e45,ibc2018:exception:ac1869fa1df3c1f9a1b2b2b7,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[349.845,530.264,571.734,545.701],""chapter"":""11"",""line_id"":""poppler-line:606d2024e244da99d921"",""observed_text_sha256"":""50d2e6cf31ff49bd71c944ee9d142fa11f23079bce78c3d06887f9fd9bd1f574"",""pdf_page"":334,""printed_page"":""307""}",1105.1.7,
parent_provision,ibc2018:attachment:eb3976bec8352d7a8041b3c0,ibc2018:exception:f589db9360c13eb2e7232b38,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[71.962,607.232,305.567,622.669],""chapter"":""11"",""line_id"":""poppler-line:f67a0ee460502c88eeaf"",""observed_text_sha256"":""a576b36a67893f8ba3c0921b44f91282321bef07cd637608dcae64736ee813a2"",""pdf_page"":334,""printed_page"":""307""}",1104.6,
parent_provision,ibc2018:attachment:8fcfe14b07f824ac2ec55f28,ibc2018:exception:0eac404c001864c2396aa0e3,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[338.002,678.335,571.739,693.771],""chapter"":""11"",""line_id"":""poppler-line:6be9182ce54e7b6ed07a"",""observed_text_sha256"":""0892378d3cf219fe76d2d9b5147ae20ef5f723c5b2a9371a66bff1b4f3fa0064"",""pdf_page"":334,""printed_page"":""307""}",1106.1,
nested_exception_item,ibc2018:attachment:7c588dadc1ab0c8fd9fdb5da,ibc2018:exception:53ced18b0941a50ba6b5056a,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[329.937,220.824,551.976,233.167],""chapter"":""11"",""line_id"":""poppler-line:b60768a3f3753db82865"",""observed_text_sha256"":""22c89621c13d34b90b57808756ad27f9c02ae511cf48f95a41db866d23fa9ba9"",""pdf_page"":335,""printed_page"":""308""}",,
nested_exception_item,ibc2018:attachment:f1a5ecb313ae6e8563f769a0,ibc2018:exception:53ced18b0941a50ba6b5056a,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[329.937,245.438,551.871,258.248],""chapter"":""11"",""line_id"":""poppler-line:29fc5c381b40bd0c116d"",""observed_text_sha256"":""fdd96739e6055df9d0e2ceb8077de6cbbdc4cd9cd0646fa3dc58565ea0f6e135"",""pdf_page"":335,""printed_page"":""308""}",,
parent_provision,ibc2018:attachment:20798ba9fee7ea5aad30de3d,ibc2018:exception:53ced18b0941a50ba6b5056a,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[317.929,202.876,367.284,220.547],""chapter"":""11"",""line_id"":""poppler-line:41d748bd68c152fccc2b"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":335,""printed_page"":""308""}",1106.6,
parent_provision,ibc2018:attachment:3cdaa75227ec2d3e7c2b70d7,ibc2018:exception:299a5b6d0f61420ddeac37aa,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[52.056,690.913,285.736,708.584],""chapter"":""11"",""line_id"":""poppler-line:f7b9e925f80b8ba07db2"",""observed_text_sha256"":""75b24e870714ac953c8dcc5921b65a689f8429bb7f96c2c16fd28c110420943e"",""pdf_page"":335,""printed_page"":""308""}",1106.5,
nested_exception_item,ibc2018:attachment:582dff7e2e2d3aa9741698fa,ibc2018:exception:e970cdb020803d0c4bda4f20,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.853,114.917,301.985,127.728],""chapter"":""11"",""line_id"":""poppler-line:3b1f91f3da7d315d884d"",""observed_text_sha256"":""5a73265155e0ffeb5349c0855d6b0ac122ed081f177ba69728232c14834356d3"",""pdf_page"":336,""printed_page"":""309""}",,
nested_exception_item,ibc2018:attachment:ecdeedfab72b815fda6eddad,ibc2018:exception:e970cdb020803d0c4bda4f20,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.853,129.535,305.853,141.878],""chapter"":""11"",""line_id"":""poppler-line:b78dd25bca8d62c65379"",""observed_text_sha256"":""4137629b5d0d293c4c355c89bfc646c7d6f5ee6a14afb52af3dc97de80dfea34"",""pdf_page"":336,""printed_page"":""309""}",,
nested_exception_item,ibc2018:attachment:1f3a91b2f312e0d83938f1bb,ibc2018:exception:e970cdb020803d0c4bda4f20,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.853,154.877,306.483,167.221],""chapter"":""11"",""line_id"":""poppler-line:dc2cc515d95b2fd0f8be"",""observed_text_sha256"":""705a6ee5eddec770e4d560ee809f1034ecbc29e196b63ab57fd3977a82c4113d"",""pdf_page"":336,""printed_page"":""309""}",,
parent_provision,ibc2018:attachment:8b8d4ea53a679f4b467bacde,ibc2018:exception:e970cdb020803d0c4bda4f20,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[71.957,96.941,121.201,114.664],""chapter"":""11"",""line_id"":""poppler-line:882ed6a0beebc0bc3773"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":336,""printed_page"":""309""}",1106.5,
nested_exception_item,ibc2018:attachment:c82fa8c6f12ee952aec7b1e9,ibc2018:exception:2240734a4b1810b0c4772bc3,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.908,285.905,305.797,298.249],""chapter"":""11"",""line_id"":""poppler-line:8a6a8856225f9e1c730d"",""observed_text_sha256"":""d3905cb0ea53ac51f665244c82ff7963a9659b91fbdbdebb96df79842d91b0af"",""pdf_page"":336,""printed_page"":""309""}",,
nested_exception_item,ibc2018:attachment:8cc68cbdbdef01d4f0a08ed8,ibc2018:exception:2240734a4b1810b0c4772bc3,attachment_relationship,provisional,"{""appendix"":null,""bbox"":[83.909,387.875,306.07,400.685],""chapter"":""11"",""line_id"":""poppler-line:8b0d6348f66d67fe4006"",""observed_text_sha256"":""44ffbac05646f6cf374427d056c35f886c0d83fe833510c911c8aca02abdb7b3"",""pdf_page"":336,""printed_page"":""309""}",,
