appendix,candidate_source,caption,chapter,classification_reason,disposition,geometry,id,interpretation_confidence,published_identifier,record_type,review_state,semantic_category,source_anchor
,pdf_vector_paths,,1,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""d3fbb0a51a385ffff84f4565081889e7da66b0dd94055d7be4cd747f9ca5ee66"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:b5d2565e91595b5fca4360f9,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[559.15,487.15,563.25,589.3],""chapter"":""1"",""line_id"":null,""observed_text_sha256"":""98d1571d58a95740001070076a7ece9b51bfe058c23c669fd87bfe632c5e66ef"",""pdf_page"":35,""printed_page"":""8""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""9d477ab37ad1965976a98fc6a4bf0865114af9800e088e70b3361040deb2fb24"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:138de0dfbfe433d800819049,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[59.95,140.15,571.9,141.1],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""ca3d2db8e2f93f83ebad92660579e26c1f63979e7fdb5e3c7c1a6fb933d0f79e"",""pdf_page"":40,""printed_page"":""13""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":2,""fill_count"":2,""geometry_fingerprint"":""6a8e89ac99b90e197a84f5cf034b7edcce171d62ed60abf33d677334f9560c16"",""line_count"":0,""rect_count"":2,""stroke_count"":0}",ibc2018:vector-region:9615811988b66f3fd77c7f09,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[59.95,214.65,571.9,218.6],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""01287c3edcc82e2084a40d8154066356298deff0b6f6513568ada7b02d5363c8"",""pdf_page"":40,""printed_page"":""13""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""39858a0374427cf0bb005e070e945ff69a89b0908528385b67e925de2876d0fb"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:c0f3aa513e27cfba88417d32,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[559.15,162.1,563.25,366.2],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""e9d81246df6cd46bb66ce1abe360b1ace9ad607c1a33fa7243af972191be008a"",""pdf_page"":43,""printed_page"":""16""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""cec8b3cca196161dd01714ed58bd548b8b71221fb1f7ef9b2eb6791dc8d3b891"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:8f77f6086dcea3d5e2ad5efe,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[48.7,420.95,52.75,551.0],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""6b6c7d4b6d3a0e5990289ec85c3b561ba2d2323e15ca3cf549c23cac6e5d86b2"",""pdf_page"":44,""printed_page"":""17""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""62e5bd9f114dfedd1189cbf4404ec42fb36ff12391091ad6d9382d1dc2765647"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:079a5323346f068a9c449143,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[28.75,208.15,32.85,320.25],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""c43a394ade3b63f1904b5b1323011b90671da5f9a91ecd9e8b7270cd833f67ca"",""pdf_page"":51,""printed_page"":""24""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""3affdf04c1e7ff9809fbafdbd64ac13a2e4b0eecf72f819122f5fbed3558b6a3"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:1ac664f8d02c5b3ddabfb550,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[559.15,579.2,563.25,743.95],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""c1d45cdcc85e07b12633fb900633dfe20bde7a6002246e727f3d3fd485c927af"",""pdf_page"":53,""printed_page"":""26""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""ef988c3ed72c055d2e38e3bcc90d884c4afd18d1f1911222386946b8286492aa"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:bfe88707cee81b2240e2c39d,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[48.7,151.9,52.75,393.95],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""0a880ee2f0e63cb2328f2c50db7f82fa2a7bad8ab32f3ee9766358fbb06e32be"",""pdf_page"":54,""printed_page"":""27""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""aaff3598f49c0aa948a24e005ddf90109c726f4700f07000bda5674650894d2b"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:86967ad87299afe7daba3187,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[559.15,599.95,563.25,728.95],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""325ed02904bbbf2084ceeddd7e6f4fc6810cc52014fcc01810d5ce9edcf84ff8"",""pdf_page"":55,""printed_page"":""28""}"
,pdf_vector_paths,,2,surviving vector geometry is source-backed but insufficient for automatic classification,candidate_vector_region_unclassified,"{""curve_count"":0,""drawing_count"":1,""fill_count"":1,""geometry_fingerprint"":""e75c7ef78c0f23f9886b9f3b22db47b49a99b954efff7f7fbe6b85ff468f5cfa"",""line_count"":0,""rect_count"":1,""stroke_count"":0}",ibc2018:vector-region:ebbc21b0a3f4c3201bce8baa,0.0,,vector_graphic_region_detection,disputed,unknown,"{""appendix"":null,""bbox"":[579.1,480.8,583.15,587.6],""chapter"":""2"",""line_id"":null,""observed_text_sha256"":""f8291f326f03393583c63d22302656433a512f55b6209a7db3468d00428eb354"",""pdf_page"":62,""printed_page"":""35""}"
