id,raw_citation,raw_target,record_type,resolution_notes,resolution_reason,resolution_state,resolved_target,review_state,source_anchor,source_section,target_kind
ibc2018:cross-reference:154776e8243f68611ef42390,Section 903.2,903.2,internal_cross_reference,,preserved_resolved_target,resolved,903.2,provisional,"{""appendix"":null,""bbox"":[335.345,694.94,479.433,704.755],""chapter"":""10"",""line_id"":""poppler-line:7fc47fb670a7fee278b0"",""observed_text_sha256"":""a95c031289d6a7fa45ddd8c663d5aa7f2cfb1fba2ffe1c37575c480f8a1fca04"",""pdf_page"":312,""printed_page"":""285""}",1017.2.1,section
ibc2018:cross-reference:c2df72d6235708c943f66d68,Section 903.3,903.3,internal_cross_reference,,preserved_resolved_target,resolved,903.3,provisional,"{""appendix"":null,""bbox"":[335.345,713.891,572.356,723.707],""chapter"":""10"",""line_id"":""poppler-line:ceea19bccfcddb6f8084"",""observed_text_sha256"":""39e2acf99f261d2fd264aaac5b4f5f599e263dcc8942a0248554cfa107fd337e"",""pdf_page"":312,""printed_page"":""285""}",1017.2.1,section
ibc2018:cross-reference:94ce1d2424799daf1aac39e2,Section 903.2,903.2,internal_cross_reference,,preserved_resolved_target,resolved,903.2,provisional,"{""appendix"":null,""bbox"":[335.345,713.891,572.356,723.707],""chapter"":""10"",""line_id"":""poppler-line:ceea19bccfcddb6f8084"",""observed_text_sha256"":""39e2acf99f261d2fd264aaac5b4f5f599e263dcc8942a0248554cfa107fd337e"",""pdf_page"":312,""printed_page"":""285""}",1017.2.1,section
ibc2018:cross-reference:e99fdb6a3c482913e54d8a01,Section 903.3,903.3,internal_cross_reference,,preserved_resolved_target,resolved,903.3,provisional,"{""appendix"":null,""bbox"":[335.344,731.881,444.356,741.696],""chapter"":""10"",""line_id"":""poppler-line:fde954e64a019549cd5f"",""observed_text_sha256"":""2e7c844f0694284dc8b2ca9590970a868eb4369be3a9c2eb87a3afec769caf33"",""pdf_page"":312,""printed_page"":""285""}",1017.2.1,section
ibc2018:cross-reference:3443fb71013f0aec09a08569,Section 1005.1,1005.1,internal_cross_reference,,preserved_resolved_target,resolved,1005.1,provisional,"{""appendix"":null,""bbox"":[305.972,213.853,551.875,226.663],""chapter"":""10"",""line_id"":""poppler-line:2aaaa858b147a7dce14f"",""observed_text_sha256"":""e1982a3560e5a0e18413823a598390324115c82ea2315b8bf09fe4da98d7fba1"",""pdf_page"":313,""printed_page"":""286""}",1018.5,section
ibc2018:cross-reference:2efd7d14953b152510524ab3,Section 1020.2,1020.2,internal_cross_reference,,preserved_resolved_target,resolved,1020.2,provisional,"{""appendix"":null,""bbox"":[305.972,236.161,468.942,248.505],""chapter"":""10"",""line_id"":""poppler-line:aa2cffdcf8931d713b98"",""observed_text_sha256"":""5a207c705d3742ca9326320e3fa30a32f026d18cbe3f8ebf9cb80e6e453690da"",""pdf_page"":313,""printed_page"":""286""}",1018.5,section
ibc2018:cross-reference:669956e3a2f5b799e73cc865,Chapter 11,11,internal_cross_reference,,preserved_resolved_target,resolved,11,provisional,"{""appendix"":null,""bbox"":[317.979,261.107,552.036,273.918],""chapter"":""10"",""line_id"":""poppler-line:bf37ba0e960402d08cb1"",""observed_text_sha256"":""9ac8cb23691c1cd22e0c322827df1d569b66b550f14cbb40b50c46a18ab2d2d1"",""pdf_page"":313,""printed_page"":""286""}",1018.5,chapter
ibc2018:cross-reference:4286ac063c9d3f28563acb50,SECTION 1019,1019,internal_cross_reference,,section_heading_prefix,resolved,1019,provisional,"{""appendix"":null,""bbox"":[394.283,299.59,463.355,319.028],""chapter"":""10"",""line_id"":""poppler-line:f5a9aec677eec2e4ce1d"",""observed_text_sha256"":""6e3cf570e86ae76c074ddee6143eaffcc84f52a09a8d4c150ada386af6ab9990"",""pdf_page"":313,""printed_page"":""286""}",1018.5,section
ibc2018:cross-reference:43c9921a87142775cf5fad94,SECTION 1018,1018,internal_cross_reference,,section_heading_prefix,resolved,1018,provisional,"{""appendix"":null,""bbox"":[128.244,421.875,197.446,441.313],""chapter"":""10"",""line_id"":""poppler-line:201a276bb04b801ad778"",""observed_text_sha256"":""cf78ca746e140c0ec5d20dce95549ec18f7e00ddf3243266395cd4067df3ad0e"",""pdf_page"":313,""printed_page"":""286""}",1017.3.1,section
ibc2018:cross-reference:3b92f0c76807de0b8cdfbc46,Section 713,713,internal_cross_reference,,section_heading_prefix,resolved,713,provisional,"{""appendix"":null,""bbox"":[305.973,479.847,375.609,492.191],""chapter"":""10"",""line_id"":""poppler-line:5b8338208c7ab3b73e3c"",""observed_text_sha256"":""7fa3f623523dbae70f1d644dfdf618ec24c004d3ecb07b9a009cc385859e2ccd"",""pdf_page"":313,""printed_page"":""286""}",1019.3,section
ibc2018:cross-reference:9ecca14fc513f56c16ccca68,Section 1029,1029,internal_cross_reference,,section_heading_prefix,resolved,1029,provisional,"{""appendix"":null,""bbox"":[40.099,580.996,168.517,593.34],""chapter"":""10"",""line_id"":""poppler-line:890165f9923c455d991e"",""observed_text_sha256"":""a5cc7fe27088617fe1a51b2fdacb8c5a506edde70b27d8f32f7afcac6ba180c0"",""pdf_page"":313,""printed_page"":""286""}",1018.2,section
ibc2018:cross-reference:e060360e77369615fe4d3fe3,Section 1005.1,1005.1,internal_cross_reference,,preserved_resolved_target,resolved,1005.1,provisional,"{""appendix"":null,""bbox"":[40.099,617.341,285.77,630.151],""chapter"":""10"",""line_id"":""poppler-line:6457a9f7816828877696"",""observed_text_sha256"":""ad521262e15880dd66b4c3895279115b3f78eee7c7d3ea22c68c304fc491e4d3"",""pdf_page"":313,""printed_page"":""286""}",1018.3,section
ibc2018:cross-reference:a6464a489bcfbc0c3ec9284c,Section 1020.2,1020.2,internal_cross_reference,,preserved_resolved_target,resolved,1020.2,provisional,"{""appendix"":null,""bbox"":[40.099,628.638,272.844,641.092],""chapter"":""10"",""line_id"":""poppler-line:14f18b98b142ad544e45"",""observed_text_sha256"":""daf59d0635e9cdf4491b7e3a03353642b5956f76a8ef01c65736fb08b7943521"",""pdf_page"":313,""printed_page"":""286""}",1018.3,section
ibc2018:cross-reference:1a696638bf1caf275d0481c5,Section 903.3,903.3,internal_cross_reference,,preserved_resolved_target,resolved,903.3,provisional,"{""appendix"":null,""bbox"":[329.987,647.063,552.451,659.407],""chapter"":""10"",""line_id"":""poppler-line:424672d4f4bc1fb3b5c6"",""observed_text_sha256"":""764d220ba5a554256f55d299b977928c70177920aaefeb60990590d880c72c0d"",""pdf_page"":313,""printed_page"":""286""}",1019.3,section
ibc2018:cross-reference:510f866ea99fa0763e8a8715,Chapter 11,11,internal_cross_reference,,preserved_resolved_target,resolved,11,provisional,"{""appendix"":null,""bbox"":[52.051,654.082,286.164,666.892],""chapter"":""10"",""line_id"":""poppler-line:079fa61c7b26439d592f"",""observed_text_sha256"":""9ac8cb23691c1cd22e0c322827df1d569b66b550f14cbb40b50c46a18ab2d2d1"",""pdf_page"":313,""printed_page"":""286""}",1018.3,chapter
ibc2018:cross-reference:09180c1ec616af33dd3f7634,Section 404,404,internal_cross_reference,,section_heading_prefix,resolved,404,provisional,"{""appendix"":null,""bbox"":[83.958,86.596,251.317,98.94],""chapter"":""10"",""line_id"":""poppler-line:363f72acc96fa87a5de6"",""observed_text_sha256"":""55b7e8c9f22a5d95221fb48f5fa7bce4871543da8c64b59c4bbaaa516f1b421a"",""pdf_page"":314,""printed_page"":""287""}",1018.4,section
ibc2018:cross-reference:817aaee8162c323566200e5b,Sections 407.2,407.2,internal_cross_reference,,preserved_resolved_target,resolved,407.2,provisional,"{""appendix"":null,""bbox"":[326.079,254.9,571.849,264.715],""chapter"":""10"",""line_id"":""poppler-line:79766a70f246d916cde3"",""observed_text_sha256"":""e13df2c109d3a1855d4f2939770920a61bc4f47ac70f49a75b24d7e886ca1410"",""pdf_page"":314,""printed_page"":""287""}",1019.3,section
ibc2018:cross-reference:cfee6ad8dca379ae681d56a7,Section 713,713,internal_cross_reference,,section_heading_prefix,resolved,713,provisional,"{""appendix"":null,""bbox"":[59.997,265.709,298.676,278.053],""chapter"":""10"",""line_id"":""poppler-line:629d9c81edc047c8d130"",""observed_text_sha256"":""509acfa4af577d309f4300a381edd4fb08b7ddbee4e038a4bb16d1542f28fa8d"",""pdf_page"":314,""printed_page"":""287""}",1019.4,section
ibc2018:cross-reference:2049502f851e10aa2d216a6e,Section 408.8,408.8,internal_cross_reference,,preserved_resolved_target,resolved,408.8,provisional,"{""appendix"":null,""bbox"":[335.074,284.486,392.687,294.302],""chapter"":""10"",""line_id"":""poppler-line:afe6d2c47b0835604f3a"",""observed_text_sha256"":""ecdb2ac58a9c8e5f8d9574c7aa40752aec166dcebd0052fef59eb80d814bbcfa"",""pdf_page"":314,""printed_page"":""287""}",1019.3,section
