candidate_kind,disposition,id,normalized_record_id,parser_confidence,record_type,review_state,source_anchor
table_candidate,accepted,ibc2018:detection:5e4793c075d375ed30b99eea,ibc2018:table:adce3f5f63d45328ae2b70ca,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[265.4,515.355,326.405,530.811],""chapter"":""4"",""line_id"":""poppler-line:239c1dc6b63c6fee78cd"",""observed_text_sha256"":""b668b90d6907b50cd21bfd132ef156d45e0c4b6d224843fef1fd86c94bf16cb0"",""pdf_page"":127,""printed_page"":""100""}"
table_candidate,accepted,ibc2018:detection:722fe360fe65bf06265682e6,ibc2018:table:8a473433a686e2e607b21ed9,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[271.649,306.205,320.208,321.662],""chapter"":""5"",""line_id"":""poppler-line:26f4c85ef4a4411e0c21"",""observed_text_sha256"":""8fd27bef969e5b6d44fd5de0d2c6829a9f49e52e0de010b0f54badd4d746c1a7"",""pdf_page"":131,""printed_page"":""104""}"
table_candidate,accepted,ibc2018:detection:61cc15105a951724b300ee22,ibc2018:table:7e27917edac86ef7fec3765a,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[271.65,72.305,320.288,87.762],""chapter"":""5"",""line_id"":""poppler-line:dfca9c80c230656e381e"",""observed_text_sha256"":""fe774bb1e2d59c1f2b3f1838e03685ad422f2ada0649a8a466d84e4dd11e7f8e"",""pdf_page"":133,""printed_page"":""106""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:de34f59666b1555158c00a2c,ibc2018:table:7e27917edac86ef7fec3765a,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[268.55,71.255,363.358,86.711],""chapter"":""5"",""line_id"":""poppler-line:6d7c903f16b65bbd6281"",""observed_text_sha256"":""08b3dc574f556a0fe4e9f2b7bb44cba9de2354d657405c09db5a8c579707025e"",""pdf_page"":134,""printed_page"":""107""}"
table_candidate,accepted,ibc2018:detection:a2578463f6443023bdc434be,ibc2018:table:96c2a5e30cdac2fa435b29c2,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[291.534,71.41,339.997,86.866],""chapter"":""5"",""line_id"":""poppler-line:32df50dbb3797ab45823"",""observed_text_sha256"":""1b9e8fdd95922f6c4aa3a5d2c2556557802e4ea2d8603869215a16bf17944591"",""pdf_page"":136,""printed_page"":""109""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:b48f2c78ce8df81e6071a610,ibc2018:table:96c2a5e30cdac2fa435b29c2,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[248.5,71.355,343.42,86.812],""chapter"":""5"",""line_id"":""poppler-line:765ab234565d37d3c49e"",""observed_text_sha256"":""ad150a973ffb6c9006ff58e2c7d7563ff04b29524a97ebaf4a25d6bef5b0045e"",""pdf_page"":137,""printed_page"":""110""}"
table_candidate,merged_continuation_or_repeat,ibc2018:detection:b03558767e8db5e5415869ca,ibc2018:table:96c2a5e30cdac2fa435b29c2,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[268.3,71.355,363.22,86.812],""chapter"":""5"",""line_id"":""poppler-line:1734303593c08459bbcd"",""observed_text_sha256"":""ad150a973ffb6c9006ff58e2c7d7563ff04b29524a97ebaf4a25d6bef5b0045e"",""pdf_page"":138,""printed_page"":""111""}"
table_candidate,accepted,ibc2018:detection:b1af39091206a126630b0cd4,ibc2018:table:0d72f92cb6f3e8523b49fa58,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[290.752,71.354,339.503,86.811],""chapter"":""5"",""line_id"":""poppler-line:237e7559919bf7ad68ef"",""observed_text_sha256"":""56af7b747c70c859ccade11a422d153422e0b4dff1bde8b03537c084b0c5045c"",""pdf_page"":142,""printed_page"":""115""}"
table_candidate,accepted,ibc2018:detection:4105b5b72fd5d8239d2bce2b,ibc2018:table:88f1030f1b3a40ab7c9a77c9,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[268.4,341.255,322.757,356.711],""chapter"":""5"",""line_id"":""poppler-line:0cbb4a1abd0d70a1b7dc"",""observed_text_sha256"":""692c7b96581248b1829a171b6a6a044ffab3fe935b7c9d6880e2811cb8ced20f"",""pdf_page"":143,""printed_page"":""116""}"
table_candidate,accepted,ibc2018:detection:da2fc0a210c6cb9ef06aec3f,ibc2018:table:7b570c5098ab0ff7f8524ad6,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[295.4,453.655,336.11,469.111],""chapter"":""6"",""line_id"":""poppler-line:8a67dd51256c8cd82c22"",""observed_text_sha256"":""b161d2ec54b0ba1e2a8f138e9a49a9ad2b33b204c065f4b866b1939bbdb0be0f"",""pdf_page"":146,""printed_page"":""119""}"
table_candidate,accepted,ibc2018:detection:d4f4ded6db9ef653bad53ac0,ibc2018:table:efca890923bc8c64a8c54391,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[275.35,495.805,317.23,511.261],""chapter"":""6"",""line_id"":""poppler-line:7ac065b3ee3690f61cdf"",""observed_text_sha256"":""2d3110457d3b25e90061e5c338488c505c156a0a1830085b35af3c064f4c6ece"",""pdf_page"":147,""printed_page"":""120""}"
table_candidate,accepted,ibc2018:detection:fab6235eebc60d3fa1219786,ibc2018:table:bcd121751db7b01b660b4764,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[138.548,411.654,187.067,427.111],""chapter"":""7"",""line_id"":""poppler-line:1d73748e7b472b71ca00"",""observed_text_sha256"":""1f187bb5c2ddc56f65291c12b5542ec164d3af39b9f73e344563c9ab24b1f0ec"",""pdf_page"":153,""printed_page"":""126""}"
table_candidate,accepted,ibc2018:detection:c3c21827591a04e156e22c5a,ibc2018:table:8aa4d8b7afa62f73987f2b74,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[291.45,71.604,340.073,87.061],""chapter"":""7"",""line_id"":""poppler-line:16bf9e87b08007130292"",""observed_text_sha256"":""60450b623caa31958a8bd1a13f536c0bdd5c8800992efb86d688b04ecbdbe3ae"",""pdf_page"":156,""printed_page"":""129""}"
table_candidate,accepted,ibc2018:detection:4a5fbc323d3c87e5e7901041,ibc2018:table:0eddfc2437b6b29b02cd5e18,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[158.535,72.033,207.174,87.489],""chapter"":""7"",""line_id"":""poppler-line:c98e89d31b5dfff8ec6b"",""observed_text_sha256"":""c45e6eed0fb8a0d96f303b118cb89b95099a0add1bfa5ac3b5b79e44189ebd58"",""pdf_page"":158,""printed_page"":""131""}"
table_candidate,accepted,ibc2018:detection:e244c64fdf669ee85e170e42,ibc2018:table:ee1780666431041caad1c915,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[152.952,572.254,212.557,587.711],""chapter"":""7"",""line_id"":""poppler-line:8228cd0ead83e1b9b139"",""observed_text_sha256"":""3d10a354a4848bb4d4baaa5851d30727b291cc205b4e83862ddaf0a4d671e445"",""pdf_page"":160,""printed_page"":""133""}"
table_candidate,accepted,ibc2018:detection:7417f5d3a5cd452ca030771e,ibc2018:table:6b391bb0dea9d6f073a20e86,0.99,detected_structure,provisional,"{""appendix"":null,""bbox"":[286.75,71.005,345.067,86.461],""chapter"":""7"",""line_id"":""poppler-line:ffddf3660d4fc442794f"",""observed_text_sha256"":""2de40db5bdba579e21a92fadedc90d30559e43602ca4abe6fb7aca61cb3f6c01"",""pdf_page"":172,""printed_page"":""145""}"
