applicability_conditions,exception_number,external_references,extraction_confidence,id,internal_references,marker_anchor,nested_exception_anchors,nested_exception_numbers,nested_structure,parent_locator,record_type,related_figures,related_tables,review_state,source_anchor
uninterpreted,,[],0.9,ibc2018:exception:731ad4cd68564e15b2dede83,[],"{""appendix"":null,""bbox"":[338.006,690.019,383.475,707.69],""chapter"":""10"",""line_id"":""poppler-line:29a70404ccf2f9a35c7e"",""observed_text_sha256"":""ee327964a14f18f5837411b8ac926b5e106730d381dd5102c07154fe33e9e46f"",""pdf_page"":314,""printed_page"":""287""}",[],[],single,1020.3,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[338.006,690.019,383.475,707.69],""chapter"":""10"",""line_id"":""poppler-line:29a70404ccf2f9a35c7e"",""observed_text_sha256"":""ee327964a14f18f5837411b8ac926b5e106730d381dd5102c07154fe33e9e46f"",""pdf_page"":314,""printed_page"":""287""}"
uninterpreted,,[],0.9,ibc2018:exception:1e5d5a092ba4f0ef53212309,[],"{""appendix"":null,""bbox"":[52.058,96.869,101.413,114.539],""chapter"":""10"",""line_id"":""poppler-line:05f9cdb0bdd6f763e299"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":315,""printed_page"":""288""}","[{""appendix"":null,""bbox"":[63.954,114.926,285.792,127.27],""chapter"":""10"",""line_id"":""poppler-line:78a9cb65c73611c1f7f3"",""observed_text_sha256"":""973e17b5d4e001c127640e73d4325c1a80459adc4672b0fd06d346db2e683d7f"",""pdf_page"":315,""printed_page"":""288""},{""appendix"":null,""bbox"":[63.954,151.17,285.681,163.514],""chapter"":""10"",""line_id"":""poppler-line:0a0db7f50be10cfe7266"",""observed_text_sha256"":""96d99309fe2f961a2366e25b3892550308223281b4445eacb7fb6cab8f03ca37"",""pdf_page"":315,""printed_page"":""288""},{""appendix"":null,""bbox"":[63.955,209.324,285.905,221.668],""chapter"":""10"",""line_id"":""poppler-line:d11989fed7c79daf560b"",""observed_text_sha256"":""3178d9a4dba6935766d27e7598c3175c792c8b79c022fc8031a9d3ef1f9658ef"",""pdf_page"":315,""printed_page"":""288""}]","[""1"",""2"",""3""]",numbered,1020.1.1,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[52.058,96.869,101.413,114.539],""chapter"":""10"",""line_id"":""poppler-line:05f9cdb0bdd6f763e299"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":315,""printed_page"":""288""}"
uninterpreted,,[],0.9,ibc2018:exception:6b4817bab2b5a50c9ca8b735,[],"{""appendix"":null,""bbox"":[317.946,173.868,367.301,191.539],""chapter"":""10"",""line_id"":""poppler-line:1d6b49c9e2e4e13996ad"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":315,""printed_page"":""288""}","[{""appendix"":null,""bbox"":[329.953,191.926,551.625,204.27],""chapter"":""10"",""line_id"":""poppler-line:1f37dcc685853b3160c5"",""observed_text_sha256"":""99e73bbd1b5a64e2d14f4785989b797b78a92a5d5eb54f881e85a3268c094c24"",""pdf_page"":315,""printed_page"":""288""},{""appendix"":null,""bbox"":[329.953,228.169,552.473,240.513],""chapter"":""10"",""line_id"":""poppler-line:07cf1dc67d8d48b73cdd"",""observed_text_sha256"":""d6d2f7b685df6e8d1aebf23cd2644b96b27bfcebd7bce4d393ac9a3a3ec353d6"",""pdf_page"":315,""printed_page"":""288""}]","[""1"",""2""]",numbered,1020.6,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[317.946,173.868,367.301,191.539],""chapter"":""10"",""line_id"":""poppler-line:1d6b49c9e2e4e13996ad"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":315,""printed_page"":""288""}"
uninterpreted,,[],0.9,ibc2018:exception:94e9709244ab550c56b36c0a,[],"{""appendix"":null,""bbox"":[52.058,277.807,101.413,295.478],""chapter"":""10"",""line_id"":""poppler-line:e2b69169cd280ea2e5fb"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":315,""printed_page"":""288""}","[{""appendix"":null,""bbox"":[63.954,295.865,286.064,308.209],""chapter"":""10"",""line_id"":""poppler-line:20c16b1f453b360127dd"",""observed_text_sha256"":""8bcdd6af775a8d933e8e7a8497b6488e0987a9609d3cd72f4a5ce4d1a52863b5"",""pdf_page"":315,""printed_page"":""288""},{""appendix"":null,""bbox"":[63.954,386.998,285.621,399.342],""chapter"":""10"",""line_id"":""poppler-line:f0b7e9265babc2bd3b19"",""observed_text_sha256"":""356b4c87426a260fa5c8224b6f18ee9989de512bdbd068ed938793fde372c1d9"",""pdf_page"":315,""printed_page"":""288""},{""appendix"":null,""bbox"":[63.955,423.241,286.001,435.585],""chapter"":""10"",""line_id"":""poppler-line:0d7eb2d4b7fb2cf582ce"",""observed_text_sha256"":""6f0b0d1cb66fb8df589af56a337cc4a14d700f73d4368bcb195dc01466da7f0e"",""pdf_page"":315,""printed_page"":""288""},{""appendix"":null,""bbox"":[63.968,459.406,285.696,471.749],""chapter"":""10"",""line_id"":""poppler-line:0d88ad2cfc8a9fd5b9ab"",""observed_text_sha256"":""4b457e7897d1266f7e76dc862471c04d81b9b066161d44fe8d9a22c8f2071aab"",""pdf_page"":315,""printed_page"":""288""}]","[""1"",""2"",""3"",""4""]",numbered,1020.5,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[52.058,277.807,101.413,295.478],""chapter"":""10"",""line_id"":""poppler-line:e2b69169cd280ea2e5fb"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":315,""printed_page"":""288""}"
uninterpreted,,[],0.9,ibc2018:exception:77cc18dd5f50354fc3d27dae,[],"{""appendix"":null,""bbox"":[317.946,387.177,552.016,404.847],""chapter"":""10"",""line_id"":""poppler-line:893110abf9a997c28de1"",""observed_text_sha256"":""e0e6c91069687696acb2426adcde230ee670b4715ad3ce58fc869565e1081f27"",""pdf_page"":315,""printed_page"":""288""}",[],[],single,1021.2,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[317.946,387.177,552.016,404.847],""chapter"":""10"",""line_id"":""poppler-line:893110abf9a997c28de1"",""observed_text_sha256"":""e0e6c91069687696acb2426adcde230ee670b4715ad3ce58fc869565e1081f27"",""pdf_page"":315,""printed_page"":""288""}"
uninterpreted,,[],0.9,ibc2018:exception:c098291f0e182ebe562e79a3,[],"{""appendix"":null,""bbox"":[349.896,152.202,399.251,169.873],""chapter"":""10"",""line_id"":""poppler-line:16cfb651d9da15b6fdb1"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":316,""printed_page"":""289""}","[{""appendix"":null,""bbox"":[362.069,170.758,571.84,183.102],""chapter"":""10"",""line_id"":""poppler-line:49235fcf1d606befe6fc"",""observed_text_sha256"":""ce793514bca663e2f2ec80dba41732f11843194be818ce384f7a1100d833daa5"",""pdf_page"":316,""printed_page"":""289""},{""appendix"":null,""bbox"":[362.015,196.432,572.048,208.776],""chapter"":""10"",""line_id"":""poppler-line:fd0ef9ccb031b5815f6c"",""observed_text_sha256"":""b94633bdf72f0e55304f5fefcf9bd38da19df1bbb2490f2ea4490cf90bfcff68"",""pdf_page"":316,""printed_page"":""289""},{""appendix"":null,""bbox"":[362.015,244.129,571.993,256.473],""chapter"":""10"",""line_id"":""poppler-line:e9570488b107c2e88a3a"",""observed_text_sha256"":""e86497754fc462f3d2bcc1739dd84a1cb9cd21c8e9acd9c3cdeffb02d3950ded"",""pdf_page"":316,""printed_page"":""289""}]","[""1"",""2"",""3""]",numbered,1022.1,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[349.896,152.202,399.251,169.873],""chapter"":""10"",""line_id"":""poppler-line:16cfb651d9da15b6fdb1"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":316,""printed_page"":""289""}"
uninterpreted,,[],0.9,ibc2018:exception:a1c53668fc809151ca9d74d9,[],"{""appendix"":null,""bbox"":[72.014,484.863,121.202,502.534],""chapter"":""10"",""line_id"":""poppler-line:9487b380661b6aa7a5e0"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":316,""printed_page"":""289""}","[{""appendix"":null,""bbox"":[83.855,502.81,305.552,515.154],""chapter"":""10"",""line_id"":""poppler-line:1c9b97dce0b1e0cccd7c"",""observed_text_sha256"":""f744c273b29dd3c988e26793ebc7c8c9c2c2ed6db5fe3e77e6889367844d5024"",""pdf_page"":316,""printed_page"":""289""},{""appendix"":null,""bbox"":[83.855,538.888,305.782,551.342],""chapter"":""10"",""line_id"":""poppler-line:21441af6ddeba5a02868"",""observed_text_sha256"":""067e02c7924f26af0a535f3dd097ec6763778820b1723384b5acc101d727664d"",""pdf_page"":316,""printed_page"":""289""}]","[""1"",""2""]",numbered,1023.2,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[72.014,484.863,121.202,502.534],""chapter"":""10"",""line_id"":""poppler-line:9487b380661b6aa7a5e0"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":316,""printed_page"":""289""}"
uninterpreted,,[],0.9,ibc2018:exception:e4112e6cc1a2302d6569514a,[],"{""appendix"":null,""bbox"":[71.959,585.127,305.528,602.797],""chapter"":""10"",""line_id"":""poppler-line:8640409dffd3d6c6cad8"",""observed_text_sha256"":""151d218d0dbb78879c7873e5576b8f579ab897a5d4e7e1218756208397c75e02"",""pdf_page"":316,""printed_page"":""289""}",[],[],single,1023.3,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[71.959,585.127,305.528,602.797],""chapter"":""10"",""line_id"":""poppler-line:8640409dffd3d6c6cad8"",""observed_text_sha256"":""151d218d0dbb78879c7873e5576b8f579ab897a5d4e7e1218756208397c75e02"",""pdf_page"":316,""printed_page"":""289""}"
uninterpreted,,[],0.9,ibc2018:exception:48bce253305f345df5d2dcbf,[],"{""appendix"":null,""bbox"":[338.086,624.992,571.917,642.663],""chapter"":""10"",""line_id"":""poppler-line:69080ae994e9d319ae5a"",""observed_text_sha256"":""518967c9a47e0cfb1a1b53d81db7bb1a2ea6e26a68b3e7f51138b06358277de5"",""pdf_page"":316,""printed_page"":""289""}",[],[],single,1023.5,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[338.086,624.992,571.917,642.663],""chapter"":""10"",""line_id"":""poppler-line:69080ae994e9d319ae5a"",""observed_text_sha256"":""518967c9a47e0cfb1a1b53d81db7bb1a2ea6e26a68b3e7f51138b06358277de5"",""pdf_page"":316,""printed_page"":""289""}"
uninterpreted,,[],0.9,ibc2018:exception:abf62bd2f8d0875718b97f3b,[],"{""appendix"":null,""bbox"":[330.001,600.25,379.19,616.595],""chapter"":""10"",""line_id"":""poppler-line:84dcaf0c4ff02f46a26e"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":317,""printed_page"":""290""}","[{""appendix"":null,""bbox"":[341.953,618.556,551.932,630.9],""chapter"":""10"",""line_id"":""poppler-line:521de5946a0d26477612"",""observed_text_sha256"":""3084174af444dedd2b5eeef45a00bb798fe0209d683bad0fa14913cff81a7315"",""pdf_page"":317,""printed_page"":""290""},{""appendix"":null,""bbox"":[341.954,688.94,551.697,701.283],""chapter"":""10"",""line_id"":""poppler-line:b581a9f2b2c4d0333713"",""observed_text_sha256"":""f5cc819008e538f0136d24b960e3da430f726ce5d12ada49274d9897df24ed28"",""pdf_page"":317,""printed_page"":""290""}]","[""1"",""2""]",numbered,1023.3.1,exception_block,[],[],provisional,"{""appendix"":null,""bbox"":[330.001,600.25,379.19,616.595],""chapter"":""10"",""line_id"":""poppler-line:84dcaf0c4ff02f46a26e"",""observed_text_sha256"":""62d9955a550cf7cc88e2b2f7449afb582b94801a3b1a33492bb3f52d5be9cb49"",""pdf_page"":317,""printed_page"":""290""}"
